goal,dimension,region_name,estimate,estimate_cat,a3_code
AO,future,Albania,0.22400000000006964, ,ALB
AO,future,Algeria,0.20942857142861154, ,DZA
AO,future,American Samoa,0.11371428571430678, ,ASM
AO,future,Amsterdam Island and Saint Paul Island,0.22114285714289184, ,NA
AO,future,Andaman and Nicobar,0.4134285714286457, ,NA
AO,future,Angola,-0.0402857142857262,  ,AGO
AO,future,Anguilla,-0.030285714285744274,  ,AIA
AO,future,Antigua and Barbuda,1.5054285714288151, ,ATG
AO,future,Argentina,-0.5382857142858382,  ,ARG
AO,future,Aruba,0,,ABW
AO,future,Ascension,0,,NA
AO,future,Australia,0,,AUS
AO,future,Azores,0.7082857142859221, ,NA
AO,future,Bahamas,-0.2548571428572734,  ,BHS
AO,future,Bahrain,1.046285714285822, ,BHR
AO,future,Bangladesh,0.18085714285717658, ,BGD
AO,future,Barbados,0.1814285714285828, ,BRB
AO,future,Bassas da India,0.2405714285714519, ,NA
AO,future,Belgium,0,,BEL
AO,future,Belize,-0.0542857142857387,  ,BLZ
AO,future,Benin,0.0722857142857222, ,BEN
AO,future,Bermuda,0,,BMU
AO,future,Bonaire,0.32685714285719303, ,BES
AO,future,Bosnia and Herzegovina,0.5025714285715368, ,BIH
AO,future,Bouvet Island,0.3117142857143251, ,BVT
AO,future,Brazil,-0.7540000000002122,  ,BRA
AO,future,British Indian Ocean Territory,0.1714285714286194, ,IOT
AO,future,British Virgin Islands,0.18742857142859382, ,VGB
AO,future,Brunei,0,,BRN
AO,future,Bulgaria,0.6037142857144299, ,BGR
AO,future,Cambodia,0.19085714285717323, ,KHM
AO,future,Cameroon,0.09400000000001396, ,CMR
AO,future,Canada,0,,CAN
AO,future,Canary Islands,0.6948571428573306, ,NA
AO,future,Cape Verde,-0.04342857142857888,  ,NA
AO,future,Cayman Islands,0,,CYM
AO,future,Chile,0.3614285714285649, ,CHL
AO,future,China,0.55171428571439, ,CHN
AO,future,Christmas Island,0,,CXR
AO,future,Clipperton Island,0.18628571428573326, ,NA
AO,future,Cocos Islands,0,,CCK
AO,future,Colombia,0.49914285714291934, ,COL
AO,future,Comoro Islands,0.11457142857144641, ,COM
AO,future,Cook Islands,0.27800000000006353, ,COK
AO,future,Costa Rica,0.6254285714286724, ,CRI
AO,future,Croatia,0.8868571428572766, ,HRV
AO,future,Crozet Islands,0.2191428571428913, ,NA
AO,future,Cuba,0.2665714285714721, ,CUB
